Iterations,SensorVal1,SensorVal2,SensorVal3,SensorVal4,object
144,0.51,0.32,1.68,1.66,scissor
145,0.47,0.32,1.68,1.66,scissor
146,0.5,0.32,1.68,1.66,scissor
147,0.5,0.32,1.69,1.66,scissor
148,0.48,0.31,1.68,1.66,scissor
149,0.5,0.32,1.68,1.66,scissor
150,0.49,0.31,1.68,1.66,scissor
1,0.0,0.0,1.8,1.77,scissor
2,0.0,0.0,1.8,1.77,scissor
3,0.0,0.0,1.8,1.77,scissor
4,0.0,0.0,1.8,1.77,scissor
5,0.0,0.0,1.8,1.78,scissor
6,0.0,0.0,1.8,1.77,scissor
7,0.0,0.0,1.8,1.77,scissor
8,0.0,0.0,1.8,1.78,scissor
9,0.0,0.0,1.8,1.77,scissor
10,0.0,0.0,1.8,1.78,scissor
11,0.0,0.0,1.71,1.69,scissor
12,0.66,0.99,1.72,1.69,scissor
13,1.09,0.99,1.71,1.69,scissor
14,1.01,0.79,1.7,1.68,scissor
15,0.88,0.69,1.69,1.67,scissor
16,0.74,0.64,1.68,1.66,scissor
17,0.73,0.58,1.68,1.66,scissor
18,0.69,0.48,1.68,1.66,scissor
19,0.65,0.47,1.68,1.65,scissor
20,0.65,0.46,1.67,1.65,scissor
21,0.65,0.44,1.67,1.65,scissor
22,0.64,0.44,1.67,1.65,scissor
23,0.64,0.43,1.67,1.66,scissor
24,0.62,0.43,1.67,1.65,scissor
25,0.6,0.44,1.68,1.65,scissor
26,0.6,0.42,1.67,1.65,scissor
27,0.61,0.42,1.67,1.65,scissor
28,0.6,0.43,1.68,1.66,scissor
29,0.59,0.43,1.67,1.66,scissor
30,0.59,0.41,1.67,1.65,scissor
31,0.58,0.42,1.68,1.66,scissor
32,0.57,0.42,1.68,1.66,scissor
33,0.58,0.42,1.68,1.66,scissor
34,0.56,0.41,1.67,1.66,scissor
35,0.57,0.41,1.67,1.65,scissor
36,0.57,0.4,1.68,1.66,scissor
37,0.57,0.4,1.68,1.65,scissor
38,0.56,0.4,1.68,1.66,scissor
39,0.56,0.38,1.67,1.66,scissor
40,0.56,0.4,1.67,1.66,scissor
41,0.56,0.41,1.68,1.66,scissor
42,0.56,0.4,1.68,1.66,scissor
43,0.56,0.4,1.67,1.66,scissor
44,0.56,0.4,1.68,1.66,scissor
45,0.56,0.4,1.68,1.66,scissor
46,0.56,0.4,1.68,1.66,scissor
47,0.56,0.39,1.67,1.66,scissor
48,0.55,0.39,1.68,1.66,scissor
49,0.55,0.39,1.68,1.65,scissor
50,0.54,0.38,1.68,1.66,scissor
51,0.53,0.39,1.68,1.66,scissor
52,0.54,0.39,1.68,1.66,scissor
53,0.54,0.39,1.68,1.66,scissor
54,0.53,0.39,1.68,1.66,scissor
55,0.53,0.39,1.68,1.66,scissor
56,0.53,0.39,1.67,1.66,scissor
57,0.53,0.39,1.68,1.66,scissor
58,0.53,0.38,1.68,1.66,scissor
59,0.53,0.38,1.68,1.66,scissor
60,0.53,0.38,1.68,1.66,scissor
61,0.53,0.38,1.68,1.66,scissor
62,0.53,0.38,1.68,1.66,scissor
63,0.52,0.38,1.68,1.66,scissor
64,0.52,0.38,1.68,1.66,scissor
65,0.53,0.37,1.68,1.66,scissor
66,0.53,0.37,1.68,1.65,scissor
67,0.52,0.38,1.68,1.66,scissor
68,0.52,0.37,1.68,1.66,scissor
69,0.52,0.37,1.68,1.66,scissor
70,0.52,0.37,1.68,1.66,scissor
71,0.52,0.36,1.68,1.66,scissor
72,0.52,0.36,1.68,1.66,scissor
73,0.52,0.36,1.68,1.66,scissor
74,0.52,0.36,1.68,1.66,scissor
75,0.52,0.36,1.68,1.65,scissor
76,0.52,0.37,1.68,1.66,scissor
77,0.51,0.37,1.68,1.66,scissor
78,0.52,0.36,1.68,1.66,scissor
79,0.52,0.36,1.68,1.66,scissor
80,0.51,0.37,1.68,1.66,scissor
81,0.51,0.37,1.68,1.66,scissor
82,0.52,0.36,1.68,1.66,scissor
83,0.51,0.36,1.69,1.66,scissor
84,0.51,0.37,1.68,1.66,scissor
85,0.52,0.37,1.68,1.66,scissor
86,0.51,0.36,1.68,1.66,scissor
87,0.51,0.35,1.68,1.66,scissor
88,0.51,0.36,1.68,1.66,scissor
89,0.52,0.36,1.68,1.66,scissor
90,0.51,0.36,1.68,1.66,scissor
91,0.51,0.35,1.68,1.66,scissor
92,0.51,0.35,1.68,1.66,scissor
93,0.5,0.36,1.68,1.66,scissor
94,0.51,0.36,1.68,1.66,scissor
95,0.51,0.36,1.68,1.66,scissor
96,0.5,0.36,1.68,1.66,scissor
97,0.5,0.36,1.68,1.66,scissor
98,0.51,0.36,1.68,1.66,scissor
99,0.51,0.36,1.68,1.66,scissor
100,0.5,0.36,1.68,1.66,scissor
101,0.5,0.34,1.68,1.66,scissor
102,0.5,0.36,1.69,1.66,scissor
103,0.49,0.36,1.69,1.66,scissor
104,0.51,0.36,1.68,1.66,scissor
105,0.5,0.36,1.68,1.66,scissor
106,0.5,0.36,1.68,1.66,scissor
107,0.5,0.36,1.68,1.66,scissor
108,0.5,0.36,1.68,1.66,scissor
109,0.5,0.36,1.69,1.66,scissor
110,0.48,0.36,1.68,1.66,scissor
111,0.5,0.36,1.68,1.65,scissor
112,0.5,0.36,1.67,1.66,scissor
113,0.5,0.36,1.68,1.66,scissor
114,0.5,0.36,1.68,1.66,scissor
115,0.5,0.36,1.68,1.66,scissor
116,0.5,0.36,1.68,1.66,scissor
117,0.5,0.35,1.68,1.66,scissor
118,0.5,0.36,1.68,1.66,scissor
119,0.5,0.36,1.68,1.66,scissor
120,0.49,0.35,1.68,1.66,scissor
121,0.5,0.35,1.68,1.66,scissor
122,0.49,0.36,1.68,1.66,scissor
123,0.5,0.36,1.68,1.66,scissor
124,0.49,0.35,1.68,1.66,scissor
125,0.5,0.35,1.68,1.66,scissor
126,0.5,0.35,1.68,1.66,scissor
127,0.49,0.36,1.68,1.66,scissor
128,0.49,0.35,1.68,1.66,scissor
129,0.49,0.35,1.68,1.66,scissor
130,0.5,0.35,1.68,1.66,scissor
131,0.49,0.35,1.68,1.66,scissor
132,0.49,0.36,1.68,1.66,scissor
133,0.49,0.36,1.68,1.66,scissor
134,0.49,0.35,1.68,1.66,scissor
135,0.49,0.36,1.68,1.66,scissor
136,0.48,0.36,1.68,1.66,scissor
137,0.49,0.36,1.68,1.66,scissor
138,0.48,0.35,1.68,1.66,scissor
139,0.49,0.36,1.68,1.66,scissor
140,0.48,0.36,1.68,1.66,scissor
141,0.48,0.35,1.68,1.66,scissor
142,0.48,0.36,1.68,1.66,scissor
143,0.48,0.35,1.68,1.66,scissor
144,0.48,0.35,1.68,1.66,scissor
145,0.48,0.36,1.67,1.66,scissor
146,0.47,0.36,1.68,1.66,scissor
147,0.48,0.36,1.68,1.66,scissor
148,0.47,0.36,1.68,1.66,scissor
149,0.47,0.36,1.68,1.66,scissor
150,0.48,0.36,1.68,1.66,scissor
1,0.0,0.0,1.8,1.77,scissor
2,0.0,0.0,1.8,1.77,scissor
3,0.0,0.0,1.8,1.77,scissor
4,0.0,0.0,1.8,1.78,scissor
5,0.0,0.0,1.8,1.78,scissor
6,0.0,0.0,1.8,1.77,scissor
7,0.0,0.0,1.8,1.78,scissor
8,0.0,0.0,1.81,1.77,scissor
9,0.0,0.0,1.81,1.77,scissor
10,0.0,0.0,1.8,1.78,scissor
11,0.0,0.0,1.71,1.69,scissor
12,0.54,1.13,1.72,1.69,scissor
13,1.09,1.08,1.72,1.69,scissor
14,0.99,0.83,1.7,1.68,scissor
15,0.87,0.69,1.69,1.67,scissor
16,0.74,0.64,1.69,1.66,scissor
17,0.7,0.54,1.68,1.66,scissor
18,0.68,0.47,1.68,1.65,scissor
19,0.66,0.49,1.67,1.65,scissor
20,0.62,0.48,1.67,1.65,scissor
21,0.61,0.47,1.68,1.65,scissor
22,0.59,0.5,1.68,1.65,scissor
23,0.57,0.48,1.67,1.65,scissor
24,0.55,0.48,1.67,1.65,scissor
25,0.55,0.47,1.67,1.65,scissor
26,0.55,0.46,1.67,1.66,scissor
27,0.54,0.46,1.67,1.66,scissor
28,0.54,0.46,1.67,1.65,scissor
29,0.54,0.47,1.68,1.65,scissor
30,0.53,0.47,1.68,1.65,scissor
31,0.52,0.46,1.68,1.65,scissor
32,0.52,0.46,1.68,1.65,scissor
33,0.5,0.45,1.68,1.66,scissor
34,0.49,0.46,1.68,1.65,scissor
35,0.49,0.45,1.68,1.65,scissor
36,0.5,0.45,1.67,1.66,scissor
37,0.49,0.45,1.68,1.66,scissor
38,0.49,0.44,1.68,1.66,scissor
39,0.49,0.44,1.68,1.66,scissor
40,0.48,0.44,1.68,1.66,scissor
41,0.48,0.43,1.67,1.66,scissor
42,0.48,0.44,1.68,1.65,scissor
43,0.48,0.44,1.68,1.65,scissor
44,0.48,0.45,1.68,1.65,scissor
45,0.48,0.44,1.68,1.65,scissor
46,0.48,0.43,1.68,1.66,scissor
47,0.48,0.44,1.68,1.66,scissor
48,0.48,0.43,1.68,1.66,scissor
49,0.48,0.43,1.68,1.66,scissor
50,0.48,0.43,1.68,1.66,scissor
51,0.48,0.43,1.68,1.66,scissor
52,0.48,0.43,1.68,1.66,scissor
53,0.48,0.43,1.68,1.66,scissor
54,0.48,0.43,1.68,1.66,scissor
55,0.48,0.43,1.68,1.66,scissor
56,0.47,0.43,1.68,1.66,scissor
57,0.48,0.43,1.68,1.65,scissor
58,0.47,0.43,1.68,1.65,scissor
